n__denuncia;cups;fec_alta;estado;filepath;data_date;op
70;ES0022000000050825DM1P;13/07/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
71;ES0022000000050836DQ1P;13/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
72;ES0022000000050877BB1P;13/07/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
73;ES0022000000050890NR1P;22/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
74;ES0022000000050899NX1P;22/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
75;ES0022000000050912JT1P;10/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
76;ES0022000000050914JW1P;13/07/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
77;ES0022000000050921JD1P;16/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
78;ES0022000000050921JD1P;10/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
79;ES0022000000050921JD1P;10/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
80;ES0022000000050921JD1P;16/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
81;ES0022000000050922JX1P;16/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
82;ES0022000000050939ZG1P;17/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
83;ES0022000000051517QF1P;12/02/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
84;ES0022000000051517QF1P;12/02/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
85;ES0022000000051577HK1P;17/06/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
86;ES0022000000055872KS1P;17/02/2021 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
87;ES0022000000055873KQ1P;17/02/2021 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
88;ES0022000000055922TL1P;11/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
89;ES0022000000055950WR1P;20/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
90;ES0022000000056062YK1P;04/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
91;ES0022000000072911AB1P;04/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
92;ES0022000000073188SN1P;18/06/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
93;ES0022000000073987GY1P;17/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
94;ES0022000000074330LG1P;04/10/2021 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
95;ES0022000000074799QJ1P;13/07/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
96;ES0022000000075065MA1P;04/10/2021 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
97;ES0022000000076142ME1P;25/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
98;ES0022000000076410VZ1P;23/06/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
99;ES0022000000077709MW1P;13/07/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
100;ES0022000000077859BZ1P;27/02/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
